age;employ;address;income;debtinc;creddebt;othdebt;default
39;14;6;152;27.4;13.410656;28.237344;1
18;0;0;12;3.3;0.110088;0.285912;1
20;0;0;38;7.5;0.3648;2.4852;0
33;1;6;23;4.2;0.194166;0.771834;1
19;1;0;16;3.4;0.306816;0.237184;1
29;5;5;52;16.8;5.63472;3.10128;0
70;48;25;165;14.8;0.56166;23.85834;0
44;22;8;93;9;4.37751;3.99249;0
40;20;10;117;11.9;4.942665;8.980335;0
21;1;1;23;7.4;0.258704;1.443296;1
43;8;11;48;9.7;1.317648;3.338352;0
27;3;4;28;4.2;0.537432;0.638568;0
21;0;1;21;10.4;1.537536;0.646464;0
29;3;5;45;14.1;1.681425;4.663575;1
41;2;10;40;7.9;0.30968;2.85032;0
28;5;3;30;7;0.462;1.638;0
48;5;10;43;6.9;2.263821;0.703179;1
25;0;3;66;2.8;0.903672;0.944328;0
41;3;7;62;7;2.8861;1.4539;1
22;1;2;24;16.1;0.795984;3.068016;0
47;8;11;43;11.8;2.273152;2.800848;0
18;0;0;24;5.3;0.594024;0.677976;0
28;0;4;50;8.6;0.2795;4.0205;0
41;5;8;37;5.8;0.345506;1.800494;0
31;2;7;42;10.3;0.856548;3.469452;1
19;0;0;21;14.3;1.219218;1.783782;0
31;1;7;28;2;0.17416;0.38584;0
18;0;0;21;21.8;1.44207;3.13593;1
39;5;5;39;4.2;0.719082;0.918918;0
20;0;0;17;7.3;0.572101;0.668899;1
31;8;4;29;6.8;1.118124;0.853876;0
23;3;1;41;5.5;0.674245;1.580755;0
25;3;3;58;20.6;3.500764;8.447236;0
29;3;1;47;2.9;0.53157;0.83143;0
38;15;4;136;20.2;6.758112;20.713888;1
39;8;9;41;0.1;0.026896;0.014104;0
28;4;4;20;15.5;0.3038;2.7962;1
40;10;12;38;6.1;0.917928;1.400072;0
46;2;13;56;2.3;0.413448;0.874552;0
61;45;22;209;10.9;4.123361;18.657639;0
49;18;13;182;4.8;0.943488;7.792512;0
71;35;19;131;11.6;6.032812;9.163188;0
20;2;0;20;2.7;0.20088;0.33912;1
20;0;0;20;11.3;1.96168;0.29832;1
18;0;0;29;5.6;0.898072;0.725928;0
32;3;6;59;9;1.85319;3.45681;0
42;2;13;22;13.6;1.463088;1.528912;1
43;9;9;57;4.5;1.808325;0.756675;0
27;7;5;43;10;1.1997;3.1003;0
23;3;2;66;2.7;0.79299;0.98901;0
21;1;0;33;13.1;1.314192;3.008808;1
49;24;11;90;13.9;8.05644;4.45356;0
49;28;11;93;12.8;1.559424;10.344576;0
19;0;0;28;9.7;1.347136;1.368864;1
24;0;2;21;11;0.71841;1.59159;1
23;0;1;30;12.8;2.29632;1.54368;1
43;13;9;82;9.9;1.777842;6.340158;0
28;8;3;22;5.4;0.165132;1.022868;0
26;2;3;36;14.4;1.89216;3.29184;1
40;7;11;33;12.4;0.646536;3.445464;0
47;22;17;108;8.9;1.374516;8.237484;0
19;0;0;22;16.8;1.637328;2.058672;1
71;18;27;57;11.5;2.58267;3.97233;0
72;26;24;146;12.6;2.11554;16.28046;0
45;1;10;43;2.8;0.384076;0.819924;0
20;0;0;29;17;1.93256;2.99744;1
42;7;8;47;7.8;1.019148;2.646852;0
33;1;3;40;13.3;0.87248;4.44752;0
42;19;8;63;20.4;5.307876;7.544124;0
20;0;0;28;10.4;0.93184;1.98016;1
20;0;1;19;4.5;0.34542;0.50958;0
20;0;0;20;13.5;0.5913;2.1087;0
34;11;5;68;11.9;3.366272;4.725728;0
39;12;11;47;9.5;1.031415;3.433585;0
42;2;10;38;3.6;0.387144;0.980856;1
61;7;22;35;10.4;0.69524;2.94476;0
30;2;6;61;2.9;0.640378;1.128622;1
39;12;9;82;6.2;1.789568;3.294432;0
26;5;2;25;10.8;1.1286;1.5714;0
62;12;10;108;7.3;1.3797;6.5043;0
48;17;8;81;30;11.6397;12.6603;1
39;17;9;165;3.3;2.553705;2.891295;0
51;33;13;234;9.6;4.245696;18.218304;0
31;4;6;43;6.9;0.658674;2.308326;0
45;19;7;286;5;4.5331;9.7669;0
44;0;9;167;10.6;7.78888;9.91312;1
28;9;3;36;3.2;0.089856;1.062144;0
36;8;4;41;11.1;1.570095;2.980905;1
38;4;5;66;10.7;2.40108;4.66092;1
61;22;6;108;22.2;6.041952;17.934048;0
66;6;20;61;7.7;1.202432;3.494568;1
24;5;3;31;10.4;0.699608;2.524392;0
45;12;10;44;9.8;1.59544;2.71656;0
47;8;13;33;15.4;1.712634;3.369366;0
19;0;0;25;3.9;0.68055;0.29445;1
28;2;5;26;23.6;0.73632;5.39968;1
40;3;10;35;10;1.085;2.415;1
25;1;1;27;14.2;0.456246;3.377754;0
64;26;26;56;20.3;2.012136;9.355864;0
40;15;4;78;15.5;3.51819;8.57181;0
37;1;10;90;1.8;0.25434;1.36566;0
56;35;14;236;3.9;6.682104;2.521896;0
33;8;4;102;28.8;7.93152;21.44448;1
66;30;22;104;6.7;2.285504;4.682496;0
18;0;0;28;9.9;1.047816;1.724184;0
52;28;23;108;3.9;2.2113;2.0007;0
46;2;10;38;8.2;0.495444;2.620556;1
51;3;14;19;4.9;0.340746;0.590254;0
34;6;4;45;9.1;1.3104;2.7846;0
19;0;0;18;6.3;0.259686;0.874314;0
52;33;12;80;9;1.0584;6.1416;0
24;2;2;29;23.6;0.465392;6.378608;0
35;5;4;47;16.1;3.17814;4.38886;1
29;1;4;50;15.1;2.6727;4.8773;1
47;10;10;48;7;1.97568;1.38432;0
26;4;4;50;0.8;0.1324;0.2676;0
27;2;3;34;11.4;2.158932;1.717068;0
19;0;0;36;6.7;0.890028;1.521972;0
51;28;20;134;4.1;1.752586;3.741414;0
46;13;12;94;15.7;8.308754;6.449246;1
23;1;1;30;13.6;2.04;2.04;1
19;0;0;20;5.6;0.15568;0.96432;1
23;3;1;27;17.8;0.927558;3.878442;1
30;1;6;16;8.5;1.07848;0.28152;1
21;0;0;35;6.8;0.90916;1.47084;1
20;0;0;35;5.8;0.76125;1.26875;0
23;0;2;36;1.1;0.10494;0.29106;0
46;2;14;27;12.1;0.545589;2.721411;0
43;20;8;180;7.3;4.2048;8.9352;0
27;5;3;28;5.2;0.496496;0.959504;0
45;3;13;38;22.1;2.594982;5.803018;1
22;1;2;27;9.8;0.246078;2.399922;0
41;13;7;50;14.2;3.7204;3.3796;1
52;8;6;43;17.5;3.438925;4.086075;0
53;34;18;251;15.9;12.37179;27.53721;0
20;0;0;45;7.7;1.14345;2.32155;1
30;2;8;99;1.5;0.79596;0.68904;0
68;0;17;22;12.5;1.0505;1.6995;0
31;0;7;41;3.8;1.11397;0.44403;0
54;2;21;32;6.7;0.173664;1.970336;0
26;2;3;38;7.6;1.394904;1.493096;1
32;12;6;61;8.2;0.295118;4.706882;0
27;4;2;34;15.1;0.836842;4.297158;0
60;22;10;60;22.3;3.25134;10.12866;0
47;13;19;58;3.5;0.61915;1.41085;0
47;6;11;75;15.2;2.9298;8.4702;0
69;7;20;75;13.5;1.03275;9.09225;1
45;7;8;32;5.4;0.1296;1.5984;0
29;2;5;31;6.8;1.41236;0.69564;0
29;4;5;67;7.9;0.931568;4.361432;0
27;5;2;33;5.1;0.578952;1.104048;0
44;9;3;37;18.4;2.920632;3.887368;0
21;0;1;55;17.1;6.90327;2.50173;1
26;4;4;28;15;2.3814;1.8186;0
56;26;13;384;11.2;23.310336;19.697664;1
38;4;8;91;3.9;1.015014;2.533986;1
42;17;8;54;10.3;0.294786;5.267214;0
43;13;11;59;11;1.71985;4.77015;1
37;17;6;123;10.6;3.885324;9.152676;0
64;15;22;227;29.9;35.97269;31.90031;1
39;0;10;38;7.5;0.1995;2.6505;0
21;1;0;20;20.3;0.41412;3.64588;0
30;5;3;62;2.6;0.70122;0.91078;0
52;9;12;72;15.4;4.080384;7.007616;0
40;5;9;62;8;1.49296;3.46704;1
23;3;2;25;2.5;0.174375;0.450625;0
40;2;7;32;3.4;0.175168;0.912832;0
19;0;0;37;3;0.21312;0.89688;0
22;0;0;36;3.3;0.277992;0.910008;0
50;20;11;67;18.4;7.236536;5.091464;1
36;7;12;67;8.2;3.098616;2.395384;0
47;14;16;36;0.9;0.083916;0.240084;0
19;0;0;50;1.8;0.4851;0.4149;0
32;10;7;70;3.2;0.85344;1.38656;1
20;0;0;32;8.5;1.11248;1.60752;0
20;0;0;26;4;0.39104;0.64896;1
22;0;2;31;7.6;0.197904;2.158096;0
23;0;2;45;10.7;0.611505;4.203495;1
62;4;5;38;11.3;0.94468;3.34932;0
29;9;3;69;6.7;1.072536;3.550464;0
34;6;6;33;6.4;0.525888;1.586112;0
18;0;0;25;6.2;0.61845;0.93155;1
23;2;2;47;14.6;2.936936;3.925064;1
35;5;8;62;8.5;1.98679;3.28321;1
30;5;3;27;6.2;0.860436;0.813564;0
36;7;10;118;11.2;8.484672;4.731328;1
18;0;0;28;2.4;0.22176;0.45024;1
26;2;4;30;40.7;5.4945;6.7155;1
18;0;0;33;8.2;0.836154;1.869846;1
31;11;8;47;26.9;3.514754;9.128246;0
33;3;2;46;3.8;0.407284;1.340716;0
20;2;0;20;18.8;1.19192;2.56808;1
22;0;1;36;10.7;1.667916;2.184084;1
22;3;1;45;11.1;1.84815;3.14685;0
22;4;1;24;4.4;0.531168;0.524832;0
26;0;2;103;14.3;8.54282;6.18618;1
34;10;7;96;5.4;1.653696;3.530304;0
30;13;2;42;15.3;0.944622;5.481378;0
40;15;5;53;23.5;1.905615;10.549385;1
21;1;0;43;14.1;3.377091;2.685909;1
20;0;0;28;18;3.06936;1.97064;1
18;0;0;20;14.5;0.3335;2.5665;0
53;24;8;129;2.7;1.006587;2.476413;0
70;27;21;92;9.3;3.011712;5.544288;0
26;0;3;49;4.4;0.94864;1.20736;0
43;16;7;119;18.1;8.163281;13.375719;1
38;3;3;34;3.9;0.863226;0.462774;0
31;3;6;45;0.7;0.12663;0.18837;0
24;0;1;35;1.2;0.04242;0.37758;1
44;21;14;314;4.7;3.497646;11.260354;0
62;31;14;699;5.9;6.59856;34.64244;0
52;24;10;403;5.1;8.323965;12.229035;0
33;3;2;40;1.2;0.25536;0.22464;0
26;1;3;39;2;0.32604;0.45396;0
34;4;8;46;5.5;0.70334;1.82666;0
54;0;14;66;9.6;1.983168;4.352832;0
61;0;24;25;33;3.42375;4.82625;1
44;2;13;91;4.8;1.022112;3.345888;1
22;0;2;16;9.8;0.312032;1.255968;1
19;3;0;21;7.1;0.484575;1.006425;0
20;0;0;26;8.9;0.504452;1.809548;0
35;10;7;44;0.5;0.10846;0.11154;0
24;0;2;28;4;0.70448;0.41552;0
30;1;6;33;7.4;0.632478;1.809522;0
21;1;1;29;24;2.19936;4.76064;0
45;0;14;81;4.1;1.507734;1.813266;0
38;9;11;66;1.2;0.589248;0.202752;0
21;1;1;37;8.5;0.896325;2.248675;0
45;7;13;42;36.8;10.185504;5.270496;1
40;22;8;141;11;5.05626;10.45374;0
22;0;1;74;7.5;1.85925;3.69075;1
56;34;21;475;2.3;3.878375;7.046625;0
37;9;11;41;2.9;0.110577;1.078423;0
29;3;2;42;9.3;1.765512;2.140488;0
37;10;6;97;8.3;2.01275;6.03825;0
20;3;0;21;17.9;0.52626;3.23274;1
30;6;4;20;9.7;0.51216;1.42784;1
26;0;3;36;17.9;3.015792;3.428208;1
18;0;0;47;3.6;1.213164;0.478836;0
31;5;7;27;4.2;0.559062;0.574938;0
44;8;8;49;16.3;2.459996;5.527004;1
19;0;0;24;12.5;0.936;2.064;1
77;2;24;28;10.6;1.371216;1.596784;0
37;0;9;83;14.9;5.899059;6.467941;1
35;9;6;123;6.1;1.703181;5.799819;0
24;0;0;64;13;3.97696;4.34304;1
31;1;4;43;7.9;2.493398;0.903602;0
59;19;21;174;27.9;16.408548;32.137452;1
18;0;0;27;4.1;0.169371;0.937629;1
29;8;5;35;21.1;1.65424;5.73076;1
38;6;7;25;31.3;2.214475;5.610525;1
27;3;5;26;2;0.0416;0.4784;1
49;15;11;35;3;0.735;0.315;0
24;1;2;23;14.8;0.796536;2.607464;1
27;3;5;36;16.2;1.388016;4.443984;1
26;2;4;26;14.5;0.55796;3.21204;0
32;0;6;37;3.1;0.592999;0.554001;1
53;16;13;51;4.1;0.949314;1.141686;0
19;0;0;17;14.1;1.035504;1.361496;1
18;0;0;19;6.4;0.3952;0.8208;1
19;1;0;21;7.9;1.104894;0.554106;1
51;25;16;96;21.5;7.30656;13.33344;0
30;3;2;40;16.9;2.21728;4.54272;1
63;22;21;61;13.5;1.82817;6.40683;0
30;1;4;73;29.8;7.048296;14.705704;1
27;3;3;43;4.5;0.57663;1.35837;0
42;15;9;46;13.1;1.060576;4.965424;0
24;0;3;44;13.5;2.38194;3.55806;1
20;0;0;23;23.6;3.539056;1.888944;1
28;4;5;20;6.2;0.57288;0.66712;0
25;3;2;23;5;0.27945;0.87055;0
24;0;3;49;5;0.8722;1.5778;1
36;9;7;76;5.7;0.294576;4.037424;0
44;11;12;50;22;2.112;8.888;0
23;0;1;45;15.8;1.12338;5.98662;0
32;1;4;26;3.3;0.236808;0.621192;0
32;9;7;53;14.9;5.812192;2.084808;1
35;7;6;76;7;0.5586;4.7614;0
30;3;6;34;14.3;2.255968;2.606032;1
30;4;3;36;9.6;0.82944;2.62656;1
31;6;5;26;6.5;0.32617;1.36383;0
23;0;2;16;17.2;0.90816;1.84384;1
46;11;8;61;10.4;3.444792;2.899208;0
59;33;17;308;6.7;7.387688;13.248312;0
39;1;10;185;7;10.45065;2.49935;1
29;3;3;55;27.1;8.3468;6.5582;1
26;2;4;19;3.8;0.106134;0.615866;0
34;6;7;27;6.4;0.269568;1.458432;0
30;12;5;35;5.7;1.33665;0.65835;0
23;0;2;29;9.4;0.839608;1.886392;1
22;0;1;76;7.7;3.616536;2.235464;0
27;0;4;46;1.9;0.232484;0.641516;1
30;0;5;70;6.9;0.37191;4.45809;1
23;0;1;22;9;0.7128;1.2672;0
42;12;13;34;6.1;0.557906;1.516094;0
29;2;3;55;15.6;1.48434;7.09566;1
47;16;8;66;1.7;0.097614;1.024386;0
34;8;7;30;5.7;1.08243;0.62757;0
31;11;7;51;12.4;4.135896;2.188104;1
35;10;4;53;19;3.63527;6.43473;0
19;2;0;21;12;0.15372;2.36628;0
30;7;7;40;11.4;1.7784;2.7816;1
25;0;2;35;0.6;0.07119;0.13881;0
38;11;8;40;8.8;1.6544;1.8656;0
18;0;0;34;2.8;0.292264;0.659736;0
53;10;14;62;13.4;2.376088;5.931912;1
31;10;5;60;27.3;6.27354;10.10646;1
38;7;7;274;2.3;4.31687;1.98513;1
19;0;0;21;2.5;0.03255;0.49245;0
20;2;0;18;2.3;0.05589;0.35811;0
21;2;1;22;9.2;1.048432;0.975568;1
19;0;0;17;5.5;0.50864;0.42636;0
23;0;1;42;12.2;2.239188;2.884812;0
65;25;20;48;7.7;2.812656;0.883344;0
45;18;12;88;9.6;4.038144;4.409856;0
21;0;1;22;1.5;0.09702;0.23298;0
54;8;10;67;10.5;1.245195;5.789805;0
22;0;2;24;8;0.63936;1.28064;1
20;0;0;23;14.2;1.86162;1.40438;1
41;12;9;58;13.1;3.783804;3.814196;0
36;14;3;71;6.9;1.425609;3.473391;0
33;11;8;79;10.8;3.080052;5.451948;0
23;2;2;34;3.3;0.21879;0.90321;0
46;8;6;119;5.6;1.112888;5.551112;1
21;0;0;15;6.1;0.07137;0.84363;1
28;2;4;62;34.8;3.862104;17.713896;1
39;9;8;69;6;0.55476;3.58524;0
54;4;9;69;12;1.17576;7.10424;0
75;22;23;56;7.8;1.786512;2.581488;0
